timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672123086584,709,Authorisation User,200,OK,Thread Group 1-14,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,709,0,0
1672123083300,3998,Get user,200,OK,Thread Group 1-3,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48982,3998,0,0
1672123079493,7929,Get an other user,404,Not Found,Thread Group 1-1,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,7929,0,0
1672123086788,634,Authorisation User,200,OK,Thread Group 1-20,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,634,0,0
1672123086788,634,Authorisation User,200,OK,Thread Group 1-11,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,634,0,0
1672123086791,637,Authorisation User,200,OK,Thread Group 1-4,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,637,0,0
1672123084222,3609,New user,201,Created,Thread Group 1-19,text,true,,1135,1263,20,20,http://test-api.d6.dev.devcaz.com/v2/players,3609,0,0
1672123087299,693,Authorisation User,200,OK,Thread Group 1-3,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,693,0,0
1672123087423,792,Authorisation User,200,OK,Thread Group 1-1,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,792,0,0
1672123084093,4179,Get user,200,OK,Thread Group 1-18,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48978,4179,0,0
1672123087832,578,Authorisation User,200,OK,Thread Group 1-19,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,578,0,0
